Don_Left,Don_Right,Ka_Left,Ka_Right,Label
0,1,120,187,Ka_Right
0,0,160,93,Ka_Right
0,0,146,101,Ka_Right
2,0,271,60,Ka_Right
0,0,348,111,Ka_Right
1,0,277,22,Ka_Right
0,0,299,15,Ka_Right
0,0,381,183,Ka_Right
0,0,608,296,Ka_Right
0,1,350,201,Ka_Right
0,0,281,153,Ka_Right
27,0,526,201,Ka_Right
0,0,322,221,Ka_Right
0,3,327,199,Ka_Right
17,1,505,132,Ka_Right
0,0,401,153,Ka_Right
0,0,478,123,Ka_Right
0,0,545,47,Ka_Right
0,0,639,175,Ka_Right
123,0,740,262,Ka_Right
80,0,749,257,Ka_Right
81,0,727,247,Ka_Right
134,1,762,321,Ka_Right
174,1,750,291,Ka_Right
188,0,739,330,Ka_Right
81,0,754,286,Ka_Right
0,0,652,134,Ka_Right
0,0,637,165,Ka_Right
100,1,662,307,Ka_Right
0,0,528,172,Ka_Right
0,0,418,196,Ka_Right
0,1,342,27,Ka_Right
0,0,297,25,Ka_Right
0,0,257,12,Ka_Right
0,0,368,19,Ka_Right
0,0,384,23,Ka_Right
146,0,658,184,Ka_Right
107,2,734,312,Ka_Right
223,0,749,348,Ka_Right
254,1,617,361,Ka_Right
96,0,671,331,Ka_Right
140,1,591,354,Ka_Right
0,0,255,218,Ka_Right
0,0,275,162,Ka_Right
0,0,329,70,Ka_Right
2,0,296,47,Ka_Right
0,0,370,23,Ka_Right
205,1,405,19,Noise
513,5,447,25,Noise
541,8,420,26,Noise
549,7,464,32,Noise
287,3,470,28,Noise
316,4,454,46,Noise
128,2,447,41,Noise
119,2,451,41,Noise
198,2,481,52,Noise
273,3,527,139,Noise
318,5,526,196,Noise
424,8,477,151,Noise
260,2,451,58,Noise
358,4,494,116,Noise
338,4,528,95,Noise
294,3,501,71,Noise
92,0,326,19,Noise
199,3,304,18,Noise
293,4,295,31,Noise
299,3,217,28,Noise
262,2,168,10,Noise
213,1,26,5,Noise
9,0,166,8,Noise
97,0,184,13,Noise
109,0,208,37,Noise
116,2,162,18,Noise
110,5,198,26,Noise
144,1,144,21,Noise
127,1,32,4,Noise
113,1,18,3,Noise
84,0,53,5,Noise
0,0,114,4,Noise
0,0,105,11,Noise
0,0,117,7,Noise
0,0,138,7,Noise
0,0,128,12,Noise
1,0,170,14,Noise
0,2,73,10,Noise
0,0,72,17,Noise
0,0,75,10,Noise
0,0,76,20,Noise
0,0,74,15,Noise
0,0,76,23,Noise
0,0,71,21,Noise
0,0,71,25,Noise
0,0,72,18,Noise
0,0,74,18,Noise
0,0,74,18,Noise
0,0,160,21,Noise
0,0,123,20,Noise
0,0,71,10,Noise
0,2,173,18,Noise
0,0,277,14,Noise
0,0,281,16,Noise
0,2,325,11,Noise
0,0,305,9,Noise
49,0,248,13,Noise
203,2,229,13,Noise
373,4,359,15,Noise
377,3,330,18,Noise
399,3,193,20,Noise
415,4,188,62,Noise
449,5,273,109,Noise
460,5,287,145,Noise
466,5,399,165,Noise
457,5,430,210,Noise
524,5,262,161,Noise
576,6,216,166,Noise
592,6,243,190,Noise
572,8,285,196,Noise
559,6,400,204,Noise
549,6,469,225,Noise
556,5,458,250,Noise
567,6,480,265,Noise
570,6,490,257,Noise
562,6,490,256,Noise
553,6,475,249,Noise
558,6,504,262,Noise
543,5,411,249,Noise
507,5,333,251,Noise
515,5,279,243,Noise
504,5,251,241,Noise
547,7,314,252,Noise
578,6,443,302,Noise
699,7,196,286,Noise
703,7,682,343,Noise
718,8,691,378,Noise
714,8,552,297,Noise
570,6,285,221,Noise
320,3,284,228,Noise
136,2,320,235,Noise
61,0,300,220,Noise
80,1,291,66,Noise
90,0,273,24,Noise
88,0,203,9,Noise
88,0,212,13,Noise
81,0,194,6,Noise
79,0,203,11,Noise
72,0,170,12,Noise
8,0,92,13,Noise
383,6,422,29,Don_Left
374,4,288,12,Don_Left
344,4,182,8,Don_Left
391,5,124,6,Don_Left
387,6,13,8,Don_Left
431,7,23,11,Don_Left
407,5,135,12,Don_Left
328,4,384,16,Don_Left
254,3,345,11,Don_Left
272,4,523,21,Don_Left
262,4,542,34,Don_Left
217,2,526,22,Don_Left
401,5,587,113,Don_Left
342,3,491,13,Don_Left
308,2,414,24,Don_Left
222,0,168,19,Don_Left
443,4,373,23,Don_Left
422,2,256,24,Don_Left
328,2,18,3,Don_Left
464,2,284,14,Don_Left
448,2,11,12,Don_Left
421,2,143,17,Don_Left
419,1,73,36,Don_Left
377,1,172,23,Don_Left
439,3,154,99,Don_Left
386,2,472,136,Don_Left
336,1,543,145,Don_Left
303,1,530,105,Don_Left
374,21,471,84,Don_Left
368,7,479,42,Don_Left
436,7,530,37,Don_Left
441,8,527,24,Don_Left
393,7,370,24,Don_Left
442,8,413,21,Don_Left
454,8,410,30,Don_Left
512,11,426,30,Don_Left
508,57,55,61,Don_Left
501,46,44,35,Don_Left
522,23,28,22,Don_Left
509,21,37,22,Don_Left
500,21,327,24,Don_Left
488,18,335,23,Don_Left
476,18,422,25,Don_Left
409,15,491,28,Don_Left
427,16,536,24,Don_Left
399,14,517,38,Don_Left
276,9,262,15,Don_Left
439,18,441,27,Don_Left
440,16,340,21,Don_Left
454,18,44,19,Don_Left
352,10,323,24,Don_Left
354,10,392,17,Don_Left
365,13,531,20,Don_Left
377,12,532,21,Don_Left
467,15,20,19,Don_Left
477,16,197,18,Don_Left
481,17,92,16,Don_Left
530,17,420,27,Don_Left
502,16,435,28,Don_Left
449,15,12,16,Don_Left
427,13,437,32,Don_Left
318,10,484,35,Don_Left
261,8,306,24,Don_Left
495,16,147,17,Don_Left
431,15,378,38,Don_Left
532,17,27,18,Don_Left
528,16,63,29,Don_Left
512,17,27,17,Don_Left
502,16,24,17,Don_Left
528,17,26,17,Don_Left
554,17,21,17,Don_Left
536,19,21,18,Don_Left
516,16,33,18,Don_Left
548,18,26,23,Don_Left
540,17,77,25,Don_Left
488,15,422,54,Don_Left
546,16,511,36,Don_Left
412,14,426,26,Don_Left
359,10,406,23,Don_Left
353,11,490,21,Don_Left
338,11,526,29,Don_Left
344,11,569,25,Don_Left
357,10,571,30,Don_Left
348,11,485,22,Don_Left
384,12,464,19,Don_Left
434,14,448,23,Don_Left
347,10,386,18,Don_Left
329,10,367,14,Don_Left
364,11,358,19,Don_Left
325,10,311,15,Don_Left
287,8,277,14,Don_Left
384,11,376,18,Don_Left
423,13,377,21,Don_Left
450,14,386,21,Don_Left
390,12,332,16,Don_Left
396,14,249,22,Don_Left
406,13,461,49,Don_Left
390,12,442,37,Don_Left
309,10,432,22,Don_Left
366,12,518,36,Don_Left
399,13,571,33,Don_Left
267,7,504,29,Don_Left
196,5,484,27,Don_Left
285,9,488,24,Don_Left
377,10,422,18,Don_Left
416,13,337,24,Don_Left
414,14,415,34,Don_Left
462,14,84,26,Don_Left
455,15,231,46,Don_Left
481,16,369,29,Don_Left
367,12,137,11,Don_Left
340,10,433,40,Don_Left
404,12,463,68,Don_Left
446,15,449,35,Don_Left
463,14,276,29,Don_Left
461,15,319,27,Don_Left
497,16,397,45,Don_Left
451,32,181,35,Don_Left
420,10,9,12,Don_Left
422,8,239,17,Don_Left
252,4,398,24,Don_Left
455,7,443,36,Don_Left
413,4,313,11,Don_Left
452,10,255,10,Don_Left
449,8,252,16,Don_Left
449,8,351,19,Don_Left
431,7,384,17,Don_Left
350,5,291,14,Don_Left
395,6,251,11,Don_Left
439,7,342,22,Don_Left
386,11,12,12,Don_Left
425,6,22,24,Don_Left
510,8,23,8,Don_Left
483,7,7,9,Don_Left
496,8,16,11,Don_Left
544,9,8,7,Don_Left
451,7,138,9,Don_Left
331,4,283,14,Don_Left
381,7,422,26,Don_Left
330,4,449,16,Don_Left
273,5,305,10,Don_Left
315,5,359,11,Don_Left
350,5,17,5,Don_Left
364,5,493,24,Don_Left
445,9,299,28,Don_Left
343,5,10,6,Don_Left
422,6,107,7,Don_Left
477,7,19,16,Don_Left
430,7,13,8,Don_Left
428,7,32,6,Don_Left
378,6,281,20,Don_Left
474,9,323,21,Don_Left
483,8,422,21,Don_Left
516,9,358,20,Don_Left
388,6,231,12,Don_Left
500,10,615,23,Don_Left
516,9,602,22,Don_Left
482,8,582,28,Don_Left
452,7,595,22,Don_Left
448,9,663,24,Don_Left
480,9,580,23,Don_Left
432,7,522,21,Don_Left
508,9,586,22,Don_Left
520,8,586,26,Don_Left
511,8,594,54,Don_Left
473,7,537,49,Don_Left
484,9,541,164,Don_Left
502,8,475,171,Don_Left
508,8,523,144,Don_Left
478,9,447,132,Don_Left
471,8,545,155,Don_Left
503,9,525,135,Don_Left
482,8,452,151,Don_Left
485,8,499,225,Don_Left
372,6,332,21,Don_Left
431,7,499,126,Don_Left
417,6,370,17,Don_Left
423,7,518,128,Don_Left
337,5,148,21,Don_Left
520,9,597,212,Don_Left
497,8,382,18,Don_Left
535,9,453,27,Don_Left
495,8,380,17,Don_Left
520,7,419,18,Don_Left
533,8,453,21,Don_Left
361,6,293,12,Don_Left
473,9,368,21,Don_Left
442,7,379,14,Don_Left
443,8,405,16,Don_Left
465,7,451,20,Don_Left
469,7,545,20,Don_Left
572,10,594,28,Don_Left
524,10,572,25,Don_Left
548,10,619,26,Don_Left
472,8,383,20,Don_Left
470,8,283,22,Don_Left
614,10,532,25,Don_Left
551,9,412,20,Don_Left
531,10,293,19,Don_Left
515,9,240,18,Don_Left
542,10,284,23,Don_Left
514,10,337,16,Don_Left
491,8,338,16,Don_Left
589,11,270,22,Don_Left
541,9,369,24,Don_Left
541,10,202,23,Don_Left
557,10,326,28,Don_Left
558,11,315,18,Don_Left
580,11,354,19,Don_Left
547,9,348,22,Don_Left
532,11,395,21,Don_Left
448,7,270,18,Don_Left
479,9,331,20,Don_Left
498,10,412,18,Don_Left
553,9,402,20,Don_Left
515,8,413,23,Don_Left
475,8,464,21,Don_Left
495,8,423,17,Don_Left
335,6,351,24,Don_Left
486,8,460,21,Don_Left
439,7,241,9,Don_Left
482,8,287,12,Don_Left
540,9,373,19,Don_Left
579,10,280,14,Don_Left
506,10,208,13,Don_Left
572,10,325,17,Don_Left
538,10,189,18,Don_Left
516,9,226,13,Don_Left
519,9,95,14,Don_Left
598,11,287,30,Don_Left
587,10,290,21,Don_Left
534,10,271,23,Don_Left
568,11,494,159,Don_Left
544,8,349,43,Don_Left
503,9,310,19,Don_Left
481,8,190,25,Don_Left
486,8,251,21,Don_Left
524,9,357,21,Don_Left
478,9,341,18,Don_Left
511,10,348,15,Don_Left
473,8,273,11,Don_Left
459,8,148,11,Don_Left
524,9,324,16,Don_Left
476,8,239,18,Don_Left
487,10,239,16,Don_Left
535,9,315,16,Don_Left
486,9,181,16,Don_Left
387,5,120,8,Don_Left
591,11,356,26,Don_Left
485,8,293,11,Don_Left
203,2,601,95,Don_Right
269,5,671,121,Don_Right
371,6,603,148,Don_Right
426,8,745,346,Don_Right
201,3,498,215,Don_Right
273,5,502,194,Don_Right
172,2,668,261,Don_Right
149,2,621,264,Don_Right
104,0,750,269,Don_Right
152,1,675,227,Don_Right
112,0,730,180,Don_Right
80,0,733,131,Don_Right
111,2,732,139,Don_Right
215,3,692,144,Don_Right
247,3,581,93,Don_Right
199,2,605,28,Don_Right
170,2,630,97,Don_Right
132,2,670,66,Don_Right
228,4,639,118,Don_Right
266,4,678,86,Don_Right
279,3,590,157,Don_Right
325,5,583,96,Don_Right
379,7,642,181,Don_Right
340,6,452,167,Don_Right
382,6,648,178,Don_Right
360,6,639,150,Don_Right
354,6,657,68,Don_Right
314,5,493,18,Don_Right
373,7,571,157,Don_Right
408,7,712,77,Don_Right
370,6,587,163,Don_Right
374,6,669,128,Don_Right
409,8,641,196,Don_Right
192,3,293,11,Don_Right
196,3,308,71,Don_Right
333,5,551,266,Don_Right
432,8,569,272,Don_Right
258,5,611,263,Don_Right
308,5,610,221,Don_Right
273,4,641,256,Don_Right
106,2,702,168,Don_Right
215,4,590,129,Don_Right
91,1,607,152,Don_Right
121,2,647,250,Don_Right
123,0,731,171,Don_Right
92,1,582,130,Don_Right
0,0,583,161,Don_Right
150,1,733,113,Don_Right
89,0,751,187,Don_Right
256,2,551,155,Don_Right
144,1,570,228,Don_Right
199,3,712,165,Don_Right
316,6,695,115,Don_Right
263,4,543,160,Don_Right
226,3,573,210,Don_Right
265,3,715,180,Don_Right
321,4,756,150,Don_Right
183,4,735,127,Don_Right
310,6,729,118,Don_Right
318,5,719,125,Don_Right
361,6,690,118,Don_Right
361,6,633,74,Don_Right
458,8,722,223,Don_Right
365,6,742,268,Don_Right
379,7,690,188,Don_Right
336,6,742,248,Don_Right
370,6,640,217,Don_Right
284,5,741,330,Don_Right
328,5,707,233,Don_Right
308,5,698,202,Don_Right
156,3,634,167,Don_Right
118,2,632,216,Don_Right
130,1,633,105,Don_Right
122,2,608,131,Don_Right
0,1,556,71,Don_Right
0,0,578,52,Don_Right
0,0,548,37,Don_Right
133,1,519,171,Don_Right
173,2,665,139,Don_Right
0,0,343,10,Don_Right
104,0,548,103,Don_Right
150,2,494,109,Don_Right
122,1,539,41,Don_Right
119,2,640,94,Don_Right
86,0,716,153,Don_Right
92,0,481,46,Don_Right
130,1,550,93,Don_Right
111,1,558,167,Don_Right
269,5,592,256,Don_Right
355,6,606,279,Don_Right
280,5,605,233,Don_Right
319,5,587,307,Don_Right
253,4,710,288,Don_Right
265,4,672,243,Don_Right
331,6,468,249,Don_Right
241,4,581,70,Don_Right
218,2,655,71,Don_Right
349,5,66,239,Don_Right
293,4,734,107,Don_Right
264,3,478,37,Don_Right
0,2,590,17,Ka_Left
0,3,558,21,Ka_Left
0,0,608,19,Ka_Left
86,0,649,55,Ka_Left
70,0,582,26,Ka_Left
106,2,643,30,Ka_Left
183,3,593,30,Ka_Left
184,2,597,22,Ka_Left
240,4,596,23,Ka_Left
217,5,648,32,Ka_Left
209,3,439,11,Ka_Left
236,2,665,18,Ka_Left
155,3,655,20,Ka_Left
0,0,406,18,Ka_Left
0,0,381,17,Ka_Left
131,0,689,40,Ka_Left
147,2,626,23,Ka_Left
91,0,635,33,Ka_Left
59,0,678,32,Ka_Left
0,0,629,40,Ka_Left
0,0,636,48,Ka_Left
64,0,643,104,Ka_Left
0,0,564,13,Ka_Left
153,1,638,36,Ka_Left
141,1,586,30,Ka_Left
189,4,586,33,Ka_Left
217,5,626,23,Ka_Left
277,4,642,29,Ka_Left
125,1,605,27,Ka_Left
134,1,576,128,Ka_Left
148,1,650,54,Ka_Left
272,4,576,23,Ka_Left
220,3,438,21,Ka_Left
326,5,625,22,Ka_Left
278,4,597,15,Ka_Left
293,5,567,20,Ka_Left
217,3,551,25,Ka_Left
175,2,335,10,Ka_Left
190,2,502,13,Ka_Left
216,2,548,14,Ka_Left
0,0,374,13,Ka_Left
0,0,606,37,Ka_Left
0,0,612,37,Ka_Left
0,0,582,40,Ka_Left
0,0,590,39,Ka_Left
0,0,695,100,Ka_Left
0,0,608,36,Ka_Left
0,0,614,36,Ka_Left
0,0,604,41,Ka_Left
0,0,613,53,Ka_Left
0,0,646,58,Ka_Left
0,0,689,156,Ka_Left
0,0,741,104,Ka_Left
0,0,649,37,Ka_Left
0,0,659,45,Ka_Left
0,0,669,52,Ka_Left
0,0,675,56,Ka_Left
0,0,745,87,Ka_Left
0,0,568,37,Ka_Left
0,0,659,26,Ka_Left
0,0,663,24,Ka_Left
55,0,623,18,Ka_Left
128,1,556,20,Ka_Left
0,0,387,15,Ka_Left
0,0,514,26,Ka_Left
0,0,505,22,Ka_Left
0,0,716,34,Ka_Left
0,0,590,32,Ka_Left
0,0,596,25,Ka_Left
0,0,664,39,Ka_Left
0,0,601,38,Ka_Left
0,1,717,32,Ka_Left
0,0,553,36,Ka_Left
0,0,717,69,Ka_Left
1,0,594,37,Ka_Left
0,0,585,48,Ka_Left
0,0,634,45,Ka_Left
0,0,708,36,Ka_Left
0,0,618,41,Ka_Left
0,0,568,31,Ka_Left
234,2,705,28,Ka_Left
162,3,647,21,Ka_Left
192,2,670,22,Ka_Left
170,1,641,26,Ka_Left
158,1,559,16,Ka_Left
141,1,552,21,Ka_Left
156,1,656,18,Ka_Left
151,2,632,18,Ka_Left
191,3,555,14,Ka_Left
166,1,548,24,Ka_Left
219,2,552,13,Ka_Left
149,1,632,20,Ka_Left
171,0,488,18,Ka_Left
133,1,591,15,Ka_Left
228,2,617,35,Ka_Left
182,1,605,23,Ka_Left
173,1,222,12,Ka_Left
173,2,572,28,Ka_Left
128,2,573,15,Ka_Left
0,0,522,20,Ka_Left
224,3,717,257,Ka_Right
148,2,691,267,Ka_Right
0,3,753,289,Ka_Right
182,2,705,229,Ka_Right
150,1,627,113,Ka_Right
117,3,673,185,Ka_Right
122,3,677,214,Ka_Right
209,1,623,218,Ka_Right
199,1,591,78,Ka_Right
224,4,702,197,Ka_Right
0,2,597,132,Ka_Right
265,3,689,199,Ka_Right
132,3,619,122,Ka_Right
285,3,684,226,Ka_Right
0,2,556,114,Ka_Right
99,2,616,101,Ka_Right
231,0,654,197,Ka_Right
272,3,705,251,Ka_Right
269,4,726,241,Ka_Right
107,0,476,33,Ka_Right
110,0,494,96,Ka_Right
0,0,658,229,Ka_Right
0,0,744,216,Ka_Right
36,1,622,106,Ka_Right
8,0,723,376,Ka_Right
136,2,553,43,Ka_Right
127,0,646,106,Ka_Right
97,0,653,193,Ka_Right
0,0,486,37,Ka_Right
0,0,727,341,Ka_Right
0,6,752,285,Ka_Right
0,0,599,199,Ka_Right
65,0,670,288,Ka_Right
83,0,634,117,Ka_Right
